Nat,Pokemon,TypeI,TypeII,AbilityI,AbilityII,HiddenAbility,Gender,EggGroupI,EggGroupII,Catch,Evolve,Form,GenII,GenIII,GenIV,GenV,GenVI,SunMoon,ORAS,SwSh,BDSP,SV
160,Feraligatr,Water,,Torrent,,Sheer Force,M (87.5%),Monster,Water 1,45,Lv. 30,Base,X,X,X,X,X,X,X,,X,
161,Sentret,Normal,,Run Away,Keen Eye,Frisk,Neutral,Field,,255,,Base,X,X,X,X,X,X,X,,X,
162,Furret,Normal,,Run Away,Keen Eye,Frisk,Neutral,Field,,90,Lv. 15,Base,X,X,X,X,X,X,X,,X,
163,Hoothoot,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,Neutral,Flying,,255,,Base,X,X,X,X,X,X,X,X,X,
164,Noctowl,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,Neutral,Flying,,90,Lv. 20,Base,X,X,X,X,X,X,X,X,X,
165,Ledyba,Bug,Flying,Swarm,Early Bird,Rattled,Neutral,Bug,,255,,Base,X,X,X,X,X,X,X,,X,
166,Ledian,Bug,Flying,Swarm,Early Bird,Iron Fist,Neutral,Bug,,90,Lv. 18,Base,X,X,X,X,X,X,X,,X,
167,Spinarak,Bug,Poison,Swarm,Insomnia,Sniper,Neutral,Bug,,255,,Base,X,X,X,X,X,X,X,,X,
168,Ariados,Bug,Poison,Swarm,Insomnia,Sniper,Neutral,Bug,,90,Lv. 22,Base,X,X,X,X,X,X,X,,X,
169,Crobat,Poison,Flying,Inner Focus,,Infiltrator,Neutral,Flying,,90,Friendship,Base,X,X,X,X,X,X,X,X,X,
170,Chinchou,Water,Electric,Volt Absorb,Illuminate,Water Absorb,Neutral,Water 2,,190,,Base,X,X,X,X,X,X,X,X,X,
171,Lanturn,Water,Electric,Volt Absorb,Illuminate,Water Absorb,Neutral,Water 2,,75,Lv. 27,Base,X,X,X,X,X,X,X,X,X,
172,Pichu,Electric,,Static,,Lightning Rod,Neutral,-,,190,,Base,X,X,X,X,X,X,X,X,X,X
173,Cleffa,Fairy,,Cute Charm,Magic Guard,Friend Guard,F (75%),-,,150,,Base,X,X,X,X,X,X,X,X,X,
174,Igglybuff,Normal,Fairy,Cute Charm,,Friend Guard,F (75%),-,,170,,Base,X,X,X,X,X,X,X,X,X,X
175,Togepi,Fairy,,Hustle,Serene Grace,Super Luck,M (87.5%),-,,190,,Base,X,X,X,X,X,X,X,X,X,
176,Togetic,Fairy,Flying,Hustle,Serene Grace,Super Luck,M (87.5%),Flying,Fairy,75,Friendship,Base,X,X,X,X,X,X,X,X,X,
177,Natu,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,Neutral,Flying,,190,,Base,X,X,X,X,X,X,X,X,X,
178,Xatu,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,Neutral,Flying,,75,Lv. 25,Base,X,X,X,X,X,X,X,X,X,
179,Mareep,Electric,,Static,,Plus,Neutral,Monster,Field,235,,Base,X,X,X,X,X,X,X,,X,X
180,Flaaffy,Electric,,Static,,Plus,Neutral,Monster,Field,120,Lv. 15,Base,X,X,X,X,X,X,X,,X,X
181,Ampharos,Electric,,Static,,Plus,Neutral,Monster,Field,45,Lv. 30,Base,X,X,X,X,X,X,X,,X,X
182,Bellossom,Grass,,Chlorophyll,,Healer,Neutral,Grass,,45,Sun Stone,Base,X,X,X,X,X,X,X,X,X,
183,Marill,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,Neutral,Water 1,Fairy,190,Friendship,Base,X,X,X,X,X,X,X,X,X,X
184,Azumarill,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,Neutral,Water 1,Fairy,75,Lv. 18,Base,X,X,X,X,X,X,X,X,X,X
185,Sudowoodo,Rock,,Sturdy,Rock Head,Rattled,Neutral,Mineral,,65,Level w/ Mimic,Base,X,X,X,X,X,X,X,X,X,X
186,Politoed,Water,,Water Absorb,Damp,Drizzle,Neutral,Water 1,,45,Trade h/ Kings Rock,Base,X,X,X,X,X,X,X,X,X,
187,Hoppip,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,Neutral,Fairy,Grass,255,,Base,X,X,X,X,X,X,X,,X,X
188,Skiploom,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,Neutral,Fairy,Grass,120,Lv. 18,Base,X,X,X,X,X,X,X,,X,X
189,Jumpluff,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,Neutral,Fairy,Grass,45,Lv. 27,Base,X,X,X,X,X,X,X,,X,X
190,Aipom,Normal,,Run Away,Pickup,Skill Link,Neutral,Field,,45,,Base,X,X,X,X,X,X,X,,X,
191,Sunkern,Grass,,Chlorophyll,Solar Power,Early Bird,Neutral,Grass,,235,,Base,X,X,X,X,X,X,X,,X,X
192,Sunflora,Grass,,Chlorophyll,Solar Power,Early Bird,Neutral,Grass,,120,Sun Stone,Base,X,X,X,X,X,X,X,,X,X
193,Yanma,Bug,Flying,Speed Boost,Compound Eyes,Frisk,Neutral,Bug,,75,,Base,X,X,X,X,X,X,X,,X,
194,Wooper,Water,Ground,Damp,Water Absorb,Unaware,Neutral,Water 1,Field,255,,Base,X,X,X,X,X,X,X,X,X,X
194,P. Wooper,Poison,Ground,Poison Point,Water Absorb,Unaware,Neutral,Water 1,Field,255,,Paldean,,,,,,,,,,X
195,Quagsire,Water,Ground,Damp,Water Absorb,Unaware,Neutral,Water 1,Field,90,Lv. 20,Base,X,X,X,X,X,X,X,X,X,X
196,Espeon,Psychic,,Synchronize,,Magic Bounce,M (87.5%),Field,,45,Morn/Day Friendship,Base,X,X,X,X,X,X,X,X,X,X
197,Umbreon,Dark,,Synchronize,,Inner Focus,M (87.5%),Field,,45,Nite Friendship,Base,X,X,X,X,X,X,X,X,X,X
198,Murkrow,Dark,Flying,Insomnia,Super Luck,Prankster,Neutral,Flying,,30,,Base,X,X,X,X,X,X,X,,X,X
199,Slowking,Water,Psychic,Oblivious,Own Tempo,Regenerator,Neutral,Monster,Water 1,70,Trade h/ Kings Rock,Base,X,X,X,X,X,X,X,X,X,X
199,G. Slowking,Poison,Psychic,Curious Medicine,Own Tempo,Regenerator,Neutral,Monster,Water 1,70,Galarian Wreath,Galarian,,,,,,,,X,,X
200,Misdreavus,Ghost,,Levitate,,,Neutral,Amorphous,,45,,Base,X,X,X,X,X,X,X,,X,X
200,Ralts,,,,,,,,,,,,,,,,,,,,,
201,Unown,Psychic,,Levitate,,,None,-,,225,N,Base,X,X,X,X,X,X,X,,X,
201,Kirlia,,,,,,,,,,,,,,,,,,,,,
202,Wobbuffet,Psychic,,Shadow Tag,,Telepathy,Neutral,Amorphous,,45,Lv. 15,Base,X,X,X,X,X,X,X,X,X,
202,Gardevoir,,,,,,,,,,,,,,,,,,,,,
203,Girafarig,Normal,Psychic,Inner Focus,Early Bird,Sap Sipper,Neutral,Field,,60,N,Base,X,X,X,X,X,X,X,,X,X
204,Pineco,Bug,,Sturdy,,Overcoat,Neutral,Bug,,190,,Base,X,X,X,X,X,X,X,,X,X
205,Forretress,Bug,Steel,Sturdy,,Overcoat,Neutral,Bug,,75,Lv. 31,Base,X,X,X,X,X,X,X,,X,X
206,Dunsparce,Normal,,Serene Grace,Run Away,Rattled,Neutral,Field,,190,N,Base,X,X,X,X,X,X,X,X,X,X
207,Gligar,Ground,Flying,Hyper Cutter,Sand Veil,Immunity,Neutral,Bug,,60,,Base,X,X,X,X,X,X,X,,X,
208,Steelix,Steel,Ground,Rock Head,Sturdy,Sheer Force,Neutral,Mineral,,25,Trade h/ Metal Coat,Base,X,X,X,X,X,X,X,X,X,
209,Snubbull,Fairy,,Intimidate,Run Away,Rattled,F (75%),Field,Fairy,190,,Base,X,X,X,X,X,X,X,,X,
210,Granbull,Fairy,,Intimidate,Quick Feet,Rattled,F (75%),Field,Fairy,75,Lv. 23,Base,X,X,X,X,X,X,X,,X,
211,Qwilfish,Water,Poison,Poison Point,Swift Swim,Intimidate,Neutral,Water 2,,45,N,Base,X,X,X,X,X,X,X,X,X,X
211,H. Qwilfish,Poison,Dark,Poison Point,Swift Swim,Intimidate,Neutral,Water 2,,45,,Hisuian,,,,,,,,,,X
212,Scizor,Bug,Steel,Swarm,Technician,Light Metal,Neutral,Bug,,25,Trade h/ Metal Coat,Base,X,X,X,X,X,X,X,X,X,X
213,Shuckle,Bug,Rock,Sturdy,Gluttony,Contrary,Neutral,Bug,,190,N,Base,X,X,X,X,X,X,X,X,X,
214,Heracross,Bug,Fighting,Swarm,Guts,Moxie,Neutral,Bug,,45,N,Base,X,X,X,X,X,X,X,X,X,X
215,Sneasel,Dark,Ice,Inner Focus,Keen Eye,Pickpocket,Neutral,Field,,60,,Base,X,X,X,X,X,X,X,X,X,X
215,H. Sneasel,Poison,Fighting,Inner Focus,Keen Eye,Poison Touch,Neutral,Field,,60,,Hisuian,,,,,,,,,,X
216,Teddiursa,Normal,,Pickup,Quick Feet,Honey Gather,Neutral,Field,,120,,Base,X,X,X,X,X,X,X,,X,X
217,Ursaring,Normal,,Guts,Quick Feet,Unnerve,Neutral,Field,,60,Lv. 30,Base,X,X,X,X,X,X,X,,X,X
218,Slugma,Fire,,Magma Armor,Flame Body,Weak Armor,Neutral,Amorphous,,190,,Base,X,X,X,X,X,X,X,,X,
219,Magcargo,Fire,Rock,Magma Armor,Flame Body,Weak Armor,Neutral,Amorphous,,75,Lv. 38,Base,X,X,X,X,X,X,X,,X,
220,Swinub,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,Neutral,Field,,225,,Base,X,X,X,X,X,X,X,X,X,
221,Piloswine,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,Neutral,Field,,75,Lv. 33,Base,X,X,X,X,X,X,X,X,X,
222,Corsola,Water,Rock,Hustle,Natural Cure,Regenerator,F (75%),Water 1,Water 3,60,N,Base,X,X,X,X,X,X,X,X,X,
222,Galarian Corsola,Ghost,,Weak Armor,,Cursed Body,F (75%),Water 1,Water 3,60,N,Galarian,,,,,,,,X,,
223,Remoraid,Water,,Hustle,Sniper,Moody,Neutral,Water 1,Water 2,190,,Base,X,X,X,X,X,X,X,X,X,
224,Octillery,Water,,Suction Cups,Sniper,Moody,Neutral,Water 1,Water 2,75,Lv. 25,Base,X,X,X,X,X,X,X,X,X,
225,Delibird,Ice,Flying,Vital Spirit,Hustle,Insomnia,Neutral,Water 1,Field,45,N,Base,X,X,X,X,X,X,X,X,X,X
226,Mantine,Water,Flying,Swift Swim,Water Absorb,Water Veil,Neutral,Water 1,,25,Level t/ Remoraid,Base,X,X,X,X,X,X,X,X,X,
227,Skarmory,Steel,Flying,Keen Eye,Sturdy,Weak Armor,Neutral,Flying,,25,N,Base,X,X,X,X,X,X,X,X,X,
228,Houndour,Dark,Fire,Early Bird,Flash Fire,Unnerve,Neutral,Field,,120,,Base,X,X,X,X,X,X,X,,X,X
229,Houndoom,Dark,Fire,Early Bird,Flash Fire,Unnerve,Neutral,Field,,45,Lv. 24,Base,X,X,X,X,X,X,X,,X,X
230,Kingdra,Water,Dragon,Swift Swim,Sniper,Damp,Neutral,Water 1,Dragon,45,Trade h/ Dragon Scale,Base,X,X,X,X,X,X,X,X,X,
231,Phanpy,Ground,,Pickup,,Sand Veil,Neutral,Field,,120,,Base,X,X,X,X,X,X,X,,X,X
232,Donphan,Ground,,Sturdy,,Sand Veil,Neutral,Field,,60,Lv. 25,Base,X,X,X,X,X,X,X,,X,X
233,Porygon2,Normal,,Trace,Download,Analytic,None,Mineral,,45,Trade w/ Up-Grade,Base,X,X,X,X,X,X,X,X,X,
234,Stantler,Normal,,Intimidate,Frisk,Sap Sipper,Neutral,Field,,45,N,Base,X,X,X,X,X,X,X,,X,X
235,Smeargle,Normal,,Own Tempo,Technician,Moody,Neutral,Field,,45,N,Base,X,X,X,X,X,X,X,,X,
236,Tyrogue,Fighting,,Guts,Steadfast,Vital Spirit,M (100%),-,,75,,Base,X,X,X,X,X,X,X,X,X,
237,Hitmontop,Fighting,,Intimidate,Technician,Steadfast,M (100%),Human-Like,,45,Lv. 20 (Atk=Def),Base,X,X,X,X,X,X,X,X,X,
238,Smoochum,Ice,Psychic,Oblivious,Forewarn,Hydration,F (100%),-,,45,,Base,X,X,X,X,X,X,X,X,X,
239,Elekid,Electric,,Static,,Vital Spirit,M (75%),-,,45,,Base,X,X,X,X,X,X,X,X,X,
240,Magby,Fire,,Flame Body,,Vital Spirit,M (75%),-,,45,,Base,X,X,X,X,X,X,X,X,X,
241,Miltank,Normal,,Thick Fat,Scrappy,Sap Sipper,F (100%),Field,,45,N,Base,X,X,X,X,X,X,X,X,X,
242,Blissey,Normal,,Natural Cure,Serene Grace,Healer,F (100%),Fairy,,30,Friendship,Base,X,X,X,X,X,X,X,X,X,X
243,Raikou,Electric,,Pressure,,Inner Focus,None,-,,3,N,Base,X,X,X,X,X,X,X,X,X,
244,Entei,Fire,,Pressure,,Inner Focus,None,-,,3,N,Base,X,X,X,X,X,X,X,X,X,
245,Suicune,Water,,Pressure,,Inner Focus,None,-,,3,N,Base,X,X,X,X,X,X,X,X,X,
246,Larvitar,Rock,Ground,Guts,,Sand Veil,Neutral,Monster,,45,,Base,X,X,X,X,X,X,X,X,X,X
247,Pupitar,Rock,Ground,Shed Skin,,,Neutral,Monster,,45,Lv. 30,Base,X,X,X,X,X,X,X,X,X,X
248,Tyranitar,Rock,Dark,Sand Stream,,Unnerve,Neutral,Monster,,45,Lv. 55,Base,X,X,X,X,X,X,X,X,X,X
249,Lugia,Psychic,Flying,Pressure,,Multiscale,None,-,,3,N,Base,X,X,X,X,X,X,X,X,X,
250,Ho-oh,Fire,Flying,Pressure,,Regenerator,None,-,,3,N,Base,X,X,X,X,X,X,X,X,X,
251,Celebi,Psychic,Grass,Natural Cure,,,None,-,,45,N,Base,X,X,X,X,X,X,X,X,X,
252,Treecko,Grass,,Overgrow,,Unburden,M (87.5%),Monster,Dragon,45,,Base,,X,X,X,X,X,X,X,X,
253,Grovyle,Grass,,Overgrow,,Unburden,M (87.5%),Monster,Dragon,45,Lv. 16,Base,,X,X,X,X,X,X,X,X,
254,Sceptile,Grass,,Overgrow,,Unburden,M (87.5%),Monster,Dragon,45,Lv. 36,Base,,X,X,X,X,X,X,X,X,
255,Torchic,Fire,,Blaze,,Speed Boost,M (87.5%),Field,,45,,Base,,X,X,X,X,X,X,X,X,
256,Combusken,Fire,Fighting,Blaze,,Speed Boost,M (87.5%),Field,,45,Lv. 16,Base,,X,X,X,X,X,X,X,X,
257,Blaziken,Fire,Fighting,Blaze,,Speed Boost,M (87.5%),Field,,45,Lv. 36,Base,,X,X,X,X,X,X,X,X,
258,Mudkip,Water,,Torrent,,Damp,M (87.5%),Monster,Water 1,45,,Base,,X,X,X,X,X,X,X,X,
259,Marshtomp,Water,Ground,Torrent,,Damp,M (87.5%),Monster,Water 1,45,Lv. 16,Base,,X,X,X,X,X,X,X,X,
260,Swampert,Water,Ground,Torrent,,Damp,M (87.5%),Monster,Water 1,45,Lv. 36,Base,,X,X,X,X,X,X,X,X,
261,Poochyena,Dark,,Run Away,Quick Feet,Rattled,Neutral,Field,,255,,Base,,X,X,X,X,X,X,,X,
262,Mightyena,Dark,,Intimidate,Quick Feet,Moxie,Neutral,Field,,127,Lv. 18,Base,,X,X,X,X,X,X,,X,
263,Zigzagoon,Normal,,Pickup,Gluttony,Quick Feet,Neutral,Field,,255,,Base,,X,X,X,X,X,X,X,X,
263,G. Zigzagoon,Dark,Normal,Pickup,Gluttony,Quick Feet,Neutral,Field,,255,,Galarian,,,,,,,,X,,
264,Linoone,Normal,,Pickup,Gluttony,Quick Feet,Neutral,Field,,90,Lv. 20,Base,,X,X,X,X,X,X,X,X,
264,G. Linoone,Dark,Normal,Pickup,Gluttony,Quick Feet,Neutral,Field,,90,Level 20,Galarian,,,,,,,,X,,
265,Wurmple,Bug,,Shield Dust,,Run Away,Neutral,Bug,,255,,Base,,X,X,X,X,X,X,,X,
266,Silcoon,Bug,,Shed Skin,,,Neutral,Bug,,120,Lv. 7,Base,,X,X,X,X,X,X,,X,
267,Beautifly,Bug,Flying,Swarm,,Rivalry,Neutral,Bug,,45,Lv. 10,Base,,X,X,X,X,X,X,,X,
268,Cascoon,Bug,,Shed Skin,,,Neutral,Bug,,120,Lv. 7,Base,,X,X,X,X,X,X,,X,
269,Dustox,Bug,Poison,Shield Dust,,Compound Eyes,Neutral,Bug,,45,Lv. 10,Base,,X,X,X,X,X,X,,X,
270,Lotad,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Neutral,Water 1,Grass,255,,Base,,X,X,X,X,X,X,X,X,
271,Lombre,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Neutral,Water 1,Grass,120,Lv. 14,Base,,X,X,X,X,X,X,X,X,
272,Ludicolo,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Neutral,Water 1,Grass,45,Water Stone,Base,,X,X,X,X,X,X,X,X,
273,Seedot,Grass,,Chlorophyll,Early Bird,Pickpocket,Neutral,Field,Grass,255,,Base,,X,X,X,X,X,X,X,X,
274,Nuzleaf,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,Neutral,Field,Grass,120,Lv. 14,Base,,X,X,X,X,X,X,X,X,
275,Shiftry,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,Neutral,Field,Grass,45,Leaf Stone,Base,,X,X,X,X,X,X,X,X,
276,Taillow,Normal,Flying,Guts,,Scrappy,Neutral,Flying,,200,,Base,,X,X,X,X,X,X,,X,
277,Swellow,Normal,Flying,Guts,,Scrappy,Neutral,Flying,,45,Lv. 22,Base,,X,X,X,X,X,X,,X,
278,Wingull,Water,Flying,Keen Eye,,Rain Dish,Neutral,Water 1,Flying,190,,Base,,X,X,X,X,X,X,X,X,X
279,Pelipper,Water,Flying,Keen Eye,,Rain Dish,Neutral,Water 1,Flying,45,Lv. 25,Base,,X,X,X,X,X,X,X,X,X
280,Ralts,Psychic,Fairy,Synchronize,Trace,Pixilate,Neutral,Amorphous,,235,,Base,,X,X,X,X,X,X,,,
280,Ralts,Psychic,Fairy,Synchronize,Trace,Pixilate,Neutral,Human-Like,Amorphous,235,,Base,,,,,,,,X,X,X
281,Kirlia,Psychic,Fairy,Synchronize,Trace,Pixilate,Neutral,Amorphous,,120,Lv. 20,Base,,X,X,X,X,X,X,,,
281,Kirlia,Psychic,Fairy,Synchronize,Trace,Pixilate,Neutral,Human-Like,Amorphous,120,Lv. 20,Base,,,,,,,,X,X,X
282,Gardevoir,Psychic,Fairy,Synchronize,Trace,Pixilate,Neutral,Amorphous,,45,Lv. 30,Base,,X,X,X,X,X,X,,,
282,Gardevoir,Psychic,Fairy,Synchronize,Trace,Pixilate,Neutral,Human-Like,Amorphous,45,Lv. 30,Base,,,,,,,,X,X,X
283,Surskit,Bug,Water,Swift Swim,,Rain Dish,Neutral,Water 1,Bug,200,,Base,,X,X,X,X,X,X,,X,X
284,Masquerain,Bug,Flying,Intimidate,,Unnerve,Neutral,Water 1,Bug,75,Lv. 22,Base,,X,X,X,X,X,X,,X,X
285,Shroomish,Grass,,Effect Spore,Poison Heal,Quick Feet,Neutral,Fairy,Grass,255,,Base,,X,X,X,X,X,X,,X,X
286,Breloom,Grass,Fighting,Effect Spore,Poison Heal,Technician,Neutral,Fairy,Grass,90,Lv. 23,Base,,X,X,X,X,X,X,,X,X
287,Slakoth,Normal,,Truant,,,Neutral,Field,,255,,Base,,X,X,X,X,X,X,,X,X
288,Vigoroth,Normal,,Vital Spirit,,,Neutral,Field,,120,Lv. 18,Base,,X,X,X,X,X,X,,X,X
289,Slaking,Normal,,Truant,,,Neutral,Field,,45,Lv. 36,Base,,X,X,X,X,X,X,,X,X
290,Nincada,Bug,Ground,Compound Eyes,,Run Away,Neutral,Bug,,255,,Base,,X,X,X,X,X,X,X,X,
291,Ninjask,Bug,Flying,Speed Boost,,Infiltrator,Neutral,Bug,,120,Lv. 20,Base,,X,X,X,X,X,X,X,X,
292,Shedinja,Bug,Ghost,Wonder Guard,,,None,Mineral,,45,Lv. 20 t/ Empty Space,Base,,X,X,X,X,X,X,X,X,
293,Whismur,Normal,,Soundproof,,Rattled,Neutral,Monster,Field,190,,Base,,X,X,X,X,X,X,X,X,
294,Loudred,Normal,,Soundproof,,Scrappy,Neutral,Monster,Field,120,Lv. 20,Base,,X,X,X,X,X,X,X,X,
295,Exploud,Normal,,Soundproof,,Scrappy,Neutral,Monster,Field,45,Lv. 40,Base,,X,X,X,X,X,X,X,X,
296,Makuhita,Fighting,,Thick Fat,Guts,Sheer Force,M (75%),Human-Like,,180,,Base,,X,X,X,X,X,X,,X,X
297,Hariyama,Fighting,,Thick Fat,Guts,Sheer Force,M (75%),Human-Like,,200,Lv. 24,Base,,X,X,X,X,X,X,,X,X
298,Azurill,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,Neutral,-,,150,,Base,,X,X,X,X,X,X,X,X,X
299,Nosepass,Rock,,Sturdy,Magnet Pull,Sand Force,Neutral,Mineral,,255,,Base,,X,X,X,X,X,X,,X,
300,Skitty,Normal,,Cute Charm,Normalize,Wonder Skin,F (75%),Field,Fairy,255,,Base,,X,X,X,X,X,X,,X,
301,Delcatty,Normal,,Cute Charm,Normalize,Wonder Skin,F (75%),Field,Fairy,60,Moon Stone,Base,,X,X,X,X,X,X,,X,
302,Sableye,Dark,Ghost,Keen Eye,Stall,Prankster,Neutral,Human-Like,,45,N,Base,,X,X,X,X,X,X,X,X,X
303,Mawile,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,Neutral,Field,Fairy,45,N,Base,,X,X,X,X,X,X,X,X,
304,Aron,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Neutral,Monster,,180,,Base,,X,X,X,X,X,X,X,X,
305,Lairon,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Neutral,Monster,,90,Lv. 32,Base,,X,X,X,X,X,X,X,X,
306,Aggron,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Neutral,Monster,,45,Lv. 42,Base,,X,X,X,X,X,X,X,X,
307,Meditite,Fighting,Psychic,Pure Power,,Telepathy,Neutral,Human-Like,,180,,Base,,X,X,X,X,X,X,,X,X
308,Medicham,Fighting,Psychic,Pure Power,,Telepathy,Neutral,Human-Like,,90,Lv. 37,Base,,X,X,X,X,X,X,,X,X
309,Electrike,Electric,,Static,Lightning Rod,Minus,Neutral,Field,,120,,Base,,X,X,X,X,X,X,X,X,
310,Manectric,Electric,,Static,Lightning Rod,Minus,Neutral,Field,,45,Lv. 26,Base,,X,X,X,X,X,X,X,X,
311,Plusle,Electric,,Plus,,Lightning Rod,Neutral,Fairy,,200,N,Base,,X,X,X,X,X,X,,X,
312,Minun,Electric,,Minus,,Volt Absorb,Neutral,Fairy,,200,N,Base,,X,X,X,X,X,X,,X,
313,Volbeat,Bug,,Illuminate,Swarm,Prankster,M (100%),Bug,Human-Like,150,N,Base,,X,X,X,X,X,X,,X,
314,Illumise,Bug,,Oblivious,Tinted Lens,Prankster,F (100%),Bug,Human-Like,150,N,Base,,X,X,X,X,X,X,,X,
315,Roselia,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,Neutral,Fairy,Grass,150,Morn/Day Friendship,Base,,X,X,X,X,X,X,X,X,
316,Gulpin,Poison,,Liquid Ooze,Sticky Hold,Gluttony,Neutral,Amorphous,,225,,Base,,X,X,X,X,X,X,,X,X
317,Swalot,Poison,,Liquid Ooze,Sticky Hold,Gluttony,Neutral,Amorphous,,75,Lv. 26,Base,,X,X,X,X,X,X,,X,X
318,Carvanha,Water,Dark,Rough Skin,,Speed Boost,Neutral,Water 2,,225,,Base,,X,X,X,X,X,X,X,X,
319,Sharpedo,Water,Dark,Rough Skin,,Speed Boost,Neutral,Water 2,,60,Lv. 30,Base,,X,X,X,X,X,X,X,X,
320,Wailmer,Water,,Water Veil,Oblivious,Pressure,Neutral,Field,Water 2,125,,Base,,X,X,X,X,X,X,X,X,
321,Wailord,Water,,Water Veil,Oblivious,Pressure,Neutral,Field,Water 2,60,Lv. 40,Base,,X,X,X,X,X,X,X,X,
322,Numel,Fire,Ground,Oblivious,Simple,Own Tempo,Neutral,Field,,255,,Base,,X,X,X,X,X,X,,X,X
323,Camerupt,Fire,Ground,Magma Armor,Solid Rock,Anger Point,Neutral,Field,,150,Lv. 33,Base,,X,X,X,X,X,X,,X,X
324,Torkoal,Fire,,White Smoke,Drought,Shell Armor,Neutral,Field,,90,N,Base,,X,X,X,X,X,X,X,X,X
325,Spoink,Psychic,,Thick Fat,Own Tempo,Gluttony,Neutral,Field,,255,,Base,,X,X,X,X,X,X,,X,X
326,Grumpig,Psychic,,Thick Fat,Own Tempo,Gluttony,Neutral,Field,,60,Lv. 32,Base,,X,X,X,X,X,X,,X,X
327,Spinda,Normal,,Own Tempo,Tangled Feet,Contrary,Neutral,Field,Human-Like,255,N,Base,,X,X,X,X,X,X,,X,
328,Trapinch,Ground,,Hyper Cutter,Arena Trap,Sheer Force,Neutral,Bug,,255,,Base,,X,X,X,X,X,X,,,
328,Trapinch,Ground,,Hyper Cutter,Arena Trap,Sheer Force,Neutral,Bug,Dragon,255,,Base,,,,,,,,X,X,
329,Vibrava,Ground,Dragon,Levitate,,,Neutral,Bug,,120,Lv. 35,Base,,X,X,X,X,X,X,,,
329,Vibrava,Ground,Dragon,Levitate,,,Neutral,Bug,Dragon,120,Lv. 35,Base,,,,,,,,X,X,
330,Flygon,Ground,Dragon,Levitate,,,Neutral,Bug,,45,Lv. 45,Base,,X,X,X,X,X,X,,,
330,Flygon,Ground,Dragon,Levitate,,,Neutral,Bug,Dragon,45,Lv. 45,Base,,,,,,,,X,X,
331,Cacnea,Grass,,Sand Veil,,Water Absorb,Neutral,Grass,Human-Like,190,,Base,,X,X,X,X,X,X,,X,X
332,Cacturne,Grass,Dark,Sand Veil,,Water Absorb,Neutral,Grass,Human-Like,60,Lv. 32,Base,,X,X,X,X,X,X,,X,X
333,Swablu,Normal,Flying,Natural Cure,,Cloud Nine,Neutral,Flying,Dragon,255,,Base,,X,X,X,X,X,X,X,X,X
334,Altaria,Dragon,Flying,Natural Cure,,Cloud Nine,Neutral,Flying,Dragon,45,Lv. 35,Base,,X,X,X,X,X,X,X,X,X
335,Zangoose,Normal,,Immunity,,Toxic Boost,Neutral,Field,,90,N,Base,,X,X,X,X,X,X,,X,X
336,Seviper,Poison,,Shed Skin,,Infiltrator,Neutral,Field,Dragon,90,N,Base,,X,X,X,X,X,X,,X,X
337,Lunatone,Rock,Psychic,Levitate,,,None,Mineral,,45,N,Base,,X,X,X,X,X,X,X,X,
338,Solrock,Rock,Psychic,Levitate,,,None,Mineral,,45,N,Base,,X,X,X,X,X,X,X,X,
339,Barboach,Water,Ground,Oblivious,Anticipate,Hydration,Neutral,Water 2,,190,,Base,,X,X,X,X,X,X,X,X,X
340,Whiscash,Water,Ground,Oblivious,Anticipate,Hydration,Neutral,Water 2,,75,Lv. 30,Base,,X,X,X,X,X,X,X,X,X
341,Corphish,Water,,Hyper Cutter,Shell Armor,Adaptability,Neutral,Water 1,Water 3,205,,Base,,X,X,X,X,X,X,X,X,
342,Crawdaunt,Water,Dark,Hyper Cutter,Shell Armor,Adaptability,Neutral,Water 1,Water 3,155,Lv. 30,Base,,X,X,X,X,X,X,X,X,
343,Baltoy,Ground,Psychic,Levitate,,,None,Mineral,,255,,Base,,X,X,X,X,X,X,X,X,
344,Claydol,Ground,Psychic,Levitate,,,None,Mineral,,90,Lv. 36,Base,,X,X,X,X,X,X,X,X,
345,Lileep,Rock,Grass,Suction Cups,,Storm Drain,M (87.5%),Water 3,,45,,Base,,X,X,X,X,X,X,X,X,
